Наименование,Артикл,Описание,Цена
Беговел HORST 00-170681,118-01,"голубой, алюминиевая рама, руль, вилка, колеса 12"" с камерами, покрышки с белой полосой, регулируема..",5425
Беговел HORST 00-170682,119-01,"красный, алюминиевая рама, руль, вилка, колеса 12"" с камерами, покрышки с белой полосой, регулируема..",5700
Беговел HORST 00-170683,120-01,"серебристый, алюминиевая рама, руль, вилка, колеса 12"" с камерами, покрышки с белой полосой, регулир..",5425
Беговел HORST95 00-170675,121-01,"оранжевый, стальная рама, колеса 12"" с камерами, покрышки с белой полосой, регулируемая высота седла..",3475
Беговел HORST95 00-170676,122-01,"белый, стальная рама, колеса 12"" с камерами, покрышки с белой полосой, регулируемая высота седла с п..",3475
Беговел HORST95 00-170677,123-01,"зеленый, стальная рама, колеса 12"" с камерами, покрышки с белой полосой, регулируемая высота седла с..",3475
Беговел HORST95 00-170678,124-01,"серебристый, стальная рама, колеса 12"" с камерами, покрышки с белой полосой, регулируемая высота сед..",3475
Беговел Stels Powerkid boy,3480-02,"Рама STEEL, высокий руль с накладками..",3550
Беговел Stels Powerkid girl,3486-02,"Рама STEEL, высокий руль с накладками..",3550
"Велосипед Stels Adrenalin MD 20"" V010",3520-02,"20"", STELS, 010, 7-ск, двухподвес, 11, алюминий, Disc механические, (НЕОНОВЫЙ/КРАСНЫЙ)..",20840
"Велосипед Stels Adrenalin MD 24"" V010",3531-02,"8-ск., рама AL (13,5""), вилка жесткая STEEL, задний перекл. MICROSHIFT RD-M26S, шифтер (правый) MICR..",23440
"Велосипед Stels Aggressor MD 24"" V010",3550-02,"24"", STELS, 010, 8-ск, Fat Bike, 13,5, алюминий, Disc механические, (ЧЕРНЫЙ)..",24830
"Велосипед Stels Arrow 14"" V020",3493-02,"14"", STELS, 020, 1-ск, сталь, V-типа/ножной задний, (СИНИЙ/БЕЛЫЙ), детский..",4580
"Велосипед Stels Arrow 16"" V020",3499-02,"16"", STELS, 020, 1-ск, сталь, V-типа/ножной задний, (БЕЛЫЙ/КРАСНЫЙ), детский..",4710
Велосипед Stels Challenger V,3393-02,"21-ск., рама STEEL (20""), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TY10/RD-M360/MF-TZ21, двой..",15800
Велосипед Stels Crosswind V,3558-02,"21-ск., рама STEEL (20""), вилка KL-T170MS-80, SHIMANO ST-EF500-2A-7R-B/ST-EF500-2A-3L-B/RD-TY300D-6-..",12850
"Велосипед Stels Dolphin 16""",3394-02,"1-ск., рама STEEL (10""), зад. ножн. тормоз, длинные стальные крылья, поддерживающая ручка, багажник,..",4440
"Велосипед Stels Echo 16""",3498-02,"1-ск., рама STEEL (9.5""), зад. ножн. тормоз, длинные стальные крылья, высокий руль с накладками, кор..",4920
Велосипед Stels Energy I,3500-02,"1-ск, рама AL (16""), вилка жёсткая STEEL, передний V-brake, задний нож.тормоз, двойной AL обод, комф..",32300
"Велосипед Stels Energy I 26"" V030",3569-02,"1-ск, рама AL (16""), вилка жёсткая STEEL, передний V-brake, задний нож.тормоз, двойной AL обод, комф..",32300
Велосипед Stels Energy III,3515-02,"26"", STELS, 2016, 3-ск, 3-х колесный, 16, алюминий, V-типа/ножной задний, (СИНИЙ), универсал..",40810
"Велосипед Stels Energy IV 24"" V020",3455-02,"24"", STELS, 2017/020, 1-ск, 3-х колесный, 15,5, сталь, (СИНИЙ)..",29000
"Велосипед Stels Energy VI 26"" V010",3463-02,"26"", STELS, 010, 6-ск, 17, сталь, (СЕРЫЙ)..",26050
"Велосипед Stels Flash 12""",3395-02,"1-ск., рама STEEL (10.5""), зад. ножн. тормоз, длинные стальные крылья, багажник, высокий руль с накл..",3650
"Велосипед Stels Flyte 16""",3396-02,"16"", STELS, 011, 1-ск, 11, сталь, ножной задний , (СИНИЙ)..",4630
"Велосипед Stels Flyte 18""",3467-02,"18"", STELS, 011, 1-ск, 12, сталь, (РОЗОВЫЙ), детский..",5010
"Велосипед Stels Flyte Lady 14"" Z011",3502-02,"14"", STELS, 011, 1-ск, 9.5, сталь, (РОЗОВЫЙ), детский..",4670
"Велосипед Stels Focus MD 26"" 21 sp V010",3526-02,"26"", STELS, 2017/010, 21-ск, двухподвес, 18, сталь, Disc механические, (ЧЕРНЫЙ/СИНИЙ)..",14590
"Велосипед Stels Focus MD 27.5"" 21 sp V010",3549-02,"27,5"", STELS, 010, 21-ск, двухподвес, 19, сталь, Disc механические, (СИНИЙ)..",15460
Велосипед Stels Focus V 18 sp,3473-02,"26"", STELS, 030, 18-ск, Горные, двухподвес, 18, сталь, V-типа, (ЧЕРНЫЙ/СИНИЙ), универсал..",13370
Велосипед Stels Focus V 21 sp V020,3397-02,"21-ск., рама STEEL (18""), тормоза Power V-типа, вилка аморт., передн.перекл.Shimano Tourney AF-DT30,..",13920
"Велосипед Stels Jet 12""",3398-02,"1-ск., рама STEEL (8""), зад. ножн. тормоз, передний ручной тормоз, высокий руль с накладками, коротк..",3840
"Велосипед Stels Jet 14""",3535-02,"14"", STELS, 010, 1-ск, 8,5, сталь, ножной задний , (БЕЛЫЙ/СИНИЙ), детский, с бок.колесами..",4580
"Велосипед Stels Jet 16""",3540-02,"16"", STELS, 021, 1-ск, 9, сталь, ножной задний , (БЕЛЫЙ/СИНИЙ), детский..",4710
"Велосипед Stels Jet 18""",3553-02,"18"", STELS, 2017/020, 1-ск, сталь, ручной передний/ножной задний , (БЕЛЫЙ/КРАСНЫЙ), детский, с бок.к..",4890
"Велосипед Stels Joy 16""",3399-02,"1-ск., рама STEEL (10.5""), зад. ножн. тормоз, высокий руль с накладками, стальные крылья, звонок, до..",4590
"Велосипед Stels Magic 12""",3400-02,"18-ск, рама AL (15""/17"") аморт.вилка STEEL, ход 60мм, SHIMANO SL-RS36/FD-TY500/RD-TY300/MF-TZ20, дво..",3330
"Велосипед Stels Magic 16"" V010",3479-02,"1-ск., рама STEEL (10,5""), зад. ножн. тормоз, передний ручной, высокий руль с накладками, длинные ст..",4920
"Велосипед Stels Miss 5000 MD 26"" V010",3485-02,"26"", STELS, 010, 21-ск, Горные, 17, сталь, Disc механические, (БИРЮЗОВЫЙ)..",13720
Велосипед Stels Miss 5000 V,3401-02,"21-cк., рама STEEL (15""/17"") аморт. вилка STEEL ход 60мм, POWER SF-TS60/FD-10TD/RD-60-B, POWER 14-28..",12180
"Велосипед Stels Miss 5000 V 26"" V040",3504-02,"26"", STELS, 040, 21-ск, Горные, низкая рама, 17, сталь, V-типа, (РОЗОВЫЙ), Lady..",12330
Велосипед Stels Miss 5100 MD V030,3402-02,"21-ск., рама ALLOY (15""/17""), тормоза дисковые, вилка аморт. с ходом 60 мм, передн.перекл. SHIMANO T..",14730
Велосипед Stels Miss 5300 MD V030,3403-02,"21-ск, рама AL (16""/18"") аморт.вилка STEEL, ход 80мм, SHIMANO ST-EF500/FD-M310/RD-TY300/CS-HG20, дво..",15880
"Велосипед Stels Miss 6000 MD 26"" V010",3517-02,"26"", STELS, 010, 21-ск, Горные, низкая рама, 17, алюминий, Disc механические, (РОЗОВЫЙ), Lady..",18240
Велосипед Stels Miss 6000 V V030,3559-02,"18-ск., рама ALLOY (15""/17""), тормоза POWER V-образн., вилка аморт. с ходом 60 мм, передн.перекл. SH..",15280
"Велосипед Stels Miss 6100 D 26"" V010",3532-02,"21-ск., рама AL (15""/17""/19""), аморт.вилка STEEL/AL с ходом 60 мм, передний перекл. SHIMANO Tourney ..",22050
"Велосипед Stels Miss 6100 MD 26""",3566-02,"26"", STELS, 010, 21-ск, 17, алюминий, Disc гидравлические, (СЕРЫЙ)..",22050
"Велосипед Stels Miss 6100 V 26""",3404-02,"21-ск., рама AL (15.5""/17.5""/19.5""), аморт. вилка SR SUNTOUR XCT, SHIMANO ST-EF51/FD-TY10/RD-TX35/MF..",16800
